chat_id,github_link,gpt_link,Type of issue/Problem (#1),Type of issue/Problem (#2),Did ChatGPT help with the issue,How did ChatGPT help with the issue,Explanations for why ChatGPT was helpful (#1),Explanations for why ChatGPT was helpful (#2),Explanations for why ChatGPT was NOT helpful,Notes,owner/repo,primary_language,stars,contributors,forks,username_shared_link,user_public_repos,user_followers,user_account_age_years,user_contributions,num_files,num_lines
73,https://github.com/garymm/starflate/issues/49,https://chat.openai.com/share/b99fc143-1870-4f94-b604-2fd4c56e9c49,debugging and code repair,,No,opinion/ideas on the arrow issue that they have,,,"multiple links shared inside the issue, no direct comments on the shared link",,garymm/starflate,HTML,2,3,1,garymm,84,15,13,18,71,4816
79,https://github.com/jabrena/spring-boot-user-beans/issues/23,https://chat.openai.com/share/65a0a5eb-2ac7-478b-87d9-7a62b3471ab2,code generation and implementation,,No,,,,"the provided solution by gpt is a bad practice, metioned by the user in the issue thread",,jabrena/spring-boot-user-beans,Java,52,2,3,jabrena,441,164,14,17,52,6915
83,https://github.com/D3Zyre/Copy-All-Files-From-Folder/issues/17,https://chat.openai.com/share/2afa2d75-0333-4197-925a-e46d4088ae49,tool/library/api recommendation,,No,,,,"the codes and ideas generated by gpt were first used in the codebase, but then were removed with an 'undo merge', calling it a dumb idea",,D3Zyre/Copy-All-Files-From-Folder,Python,2,1,0,D3Zyre,17,2,1,28,12,2064
94,https://github.com/kreait/firebase-php/issues/802,https://chat.openai.com/share/58022604-2a05-4ab9-b1dd-8a4c3e8bb471,tool/library/api usage queries,,No,,,,the developer of the project said that the info provided by gpt is wrong 'ChatGPT is wrong.',,kreait/firebase-php,PHP,2152,30,418,harshvardhanbarhan,3,0,5,0,364,19420
98,https://github.com/NA-MIC/ProjectWeek/issues/724,https://chat.openai.com/share/9e596556-c973-4792-9968-745df248cab3,tool/library/api usage queries,,No,,,,referenced the gpt's answer as 'Makes it sound so easy...' meaning that it only provided high level instructions and maybe not very realistic,,NA-MIC/ProjectWeek,Python,78,30,256,pieper,217,189,14,26,721,90023
100,https://github.com/odoo/odoo/issues/126891,https://chat.openai.com/share/5b5a8f3e-e899-4859-823c-710e018fd96e,code enhancement,,No,,,,the developer said that gpt's answer will not work 'the solution given by ChatGPT will not work. 😕',,odoo/odoo,Python,35332,30,23019,ianbmacdonald,1,1,10,4,32520,10921097
102,https://github.com/winglang/wing/issues/2869,https://chat.openai.com/share/eae464a8-ecdd-4fd9-abca-6ba55916f626,information retrieval,,No,information about memory usage of WASM,,,mention of 'not sure how trustworthy that info is though 😆' inside the issue,,winglang/wing,TypeScript,4642,30,181,skorfmann,221,143,14,7,2011,222845
108,https://github.com/davisyoshida/easy-lora-and-gptq/issues/1,https://chat.openai.com/share/2d026c56-7b00-490e-b7fd-62a76c7e49c2,code explanation,,No,,,,no direct help with the issue,,davisyoshida/easy-lora-and-gptq,Jupyter Notebook,10,1,0,buttercutter,70,61,11,27,3,174
128,https://github.com/ActivityWatch/aw-leaderboard-firebase/issues/1,https://chat.openai.com/share/106802d4-980d-4d27-be3c-b17a099f3313,tool/library/api usage queries,tool/library/api recommendation,No,,,,the alternative tools recommened by gpt are not found good in the eyes of the developer,,ActivityWatch/aw-leaderboard-firebase,TypeScript,2,3,2,ErikBjare,175,1195,12,22,60,28986
135,https://github.com/Revopoint/3DViewer/issues/9,https://chat.openai.com/share/09c9826f-b126-46de-bdcf-8fc3974426bb,debugging and code repair,,No,,,,solutions to manually compile the project doesnt work,,Revopoint/3DViewer,HTML,19,1,5,X3msnake,17,44,9,11,257,41743
139,https://github.com/ubiquity/business-development/issues/58,https://chat.openai.com/share/efa513c3-e56e-410f-8a75-133fe7879029,information retrieval,,No,,,,There is negative comment,,ubiquity/business-development,,1,4,4,0x4007,53,63,10,17,10,671
143,https://github.com/gbif/ipt/issues/2061,https://chat.openai.com/share/1cd41752-1c51-4206-80f9-50dedea49318,debugging and code repair,,No,,,,suggested soultion did not work out,,gbif/ipt,Java,122,30,58,rukayaj,17,13,9,28,2823,160531
526,https://github.com/dubinc/dub/issues/479,https://chat.openai.com/share/fdf54e64-24a4-44e0-992a-23810fbdfa14,debugging and code repair,tool/library/api usage queries,No,,,,the comment was marked as off topic and another comment says 'entirely unrelated route for users to authenticate with Bitly',,dubinc/dub,TypeScript,16501,30,1664,Yh010,143,63,3,25,867,94983
534,https://github.com/jwjacobson/jazztunes/issues/64,https://chat.openai.com/share/be42d338-2b90-4f01-9f72-60d2dea21e41,tool/library/api usage queries,,No,,,,comment saying that the gpt link and the info in it is still confusing to them,,jwjacobson/jazztunes,CSS,2,4,0,bbelderbos,173,358,13,14,276,83484
537,https://github.com/ankane/searchkick/issues/1659,https://chat.openai.com/share/a54d0100-4ec8-4952-af30-286495da68a4,tool/library/api usage queries,,No,,,,the suggested solution is different from gpt,,ankane/searchkick,Ruby,6403,30,746,34code,3,5,12,27,107,10077
545,https://github.com/freeplane/freeplane/issues/1555,https://chat.openai.com/share/1808eec4-3e0a-49f1-aeb5-688256cfc634,debugging and code repair,,No,,,,interesting discussion. the person who was answering the issue thinks that gpt's answer is complete however the person who is having the issue thinks otherwise,,freeplane/freeplane,Java,2321,30,342,dpolivaev,61,46,12,28,2632,310974
563,https://github.com/AndBible/and-bible/issues/3142,https://chat.openai.com/share/9584b16a-4bdc-4d3f-8326-f1773e6d4a8d,tool/library/api usage queries,,No,,,,comment saying 'it does not seem to work like that (surprise)...',,AndBible/and-bible,Kotlin,544,22,193,tuomas2,42,54,10,28,1211,186385
568,https://github.com/shinydevelopment/SimulatorStatusMagic/issues/123,https://chat.openai.com/share/23e601a8-6ae5-4db1-8f79-6d966cd25319,program generation,,No,,,,"provided answer is different that gpt's, and gpt's answer doesnt work for the person opening the issue",,shinydevelopment/SimulatorStatusMagic,Objective-C,2348,30,139,chrisvasselli,65,28,14,5,52,3670
571,https://github.com/graphistry/pygraphistry/issues/537,https://chat.openai.com/share/c22a10cf-b0c3-40d8-96ab-715d8b549da9,tool/library/api usage queries,,No,,,,hallucination by gpt,,graphistry/pygraphistry,Python,2077,30,205,lmeyerov,38,88,11,17,276,249695
581,https://github.com/roleoroleo/yi-hack-Allwinner-v2/issues/792,https://chat.openai.com/share/4e645b57-1967-449e-a09a-05e9b542dcb3,tool/library/api usage queries,,No,,,,comment saying 'the code is not clear',,roleoroleo/yi-hack-Allwinner-v2,Shell,739,16,91,eravion,4,1,9,1,321,25564
592,https://github.com/colorfulnotion/substrate-etl/issues/17,https://chat.openai.com/share/854213dc-8525-43be-b223-4fd119eae546,information retrieval,,No,,,,comment saying that the answer is not sufficent,,colorfulnotion/substrate-etl,JavaScript,34,4,7,sourabhniyogi,3,23,13,20,3273,446307
610,https://github.com/srcfl/srcful-gateway/issues/67,https://chat.openai.com/share/33d5c77a-2074-4986-afb0-71880fa54db5,information retrieval,,No,,,,the suggested info by gpt is not considered as a good answer or solution,,srcfl/srcful-gateway,Python,3,2,1,davmoz,38,29,7,25,152,8136
616,https://github.com/jasonacox/Powerwall-Dashboard/issues/420,https://chat.openai.com/share/cab2e62c-9d38-4e70-8aab-98e5c3b6f917,information retrieval,,No,,,,comment saying gpt's answer confused them even more,,jasonacox/Powerwall-Dashboard,Python,258,17,56,jasonacox,56,133,12,23,103,174884
618,https://github.com/agile-learning-institute/mentorHub-mongodb/issues/35,https://chat.openai.com/share/602aa6a3-d44f-46a5-97a2-141c1410847a,information retrieval,,No,,,,people dont find the info and the conversations valuable,,agile-learning-institute/mentorHub-mongodb,Dockerfile,2,6,3,GrahamPaasch,14,6,6,5,51,8264
619,https://github.com/agile-learning-institute/mentorHub-mongodb/issues/35,https://chat.openai.com/share/db7fe120-fd91-4c28-85bf-d95114b19a6d,information retrieval,,No,,,,people dont find the info and the conversations valuable,,agile-learning-institute/mentorHub-mongodb,Dockerfile,2,6,3,GrahamPaasch,14,6,6,5,51,8264
620,https://github.com/agile-learning-institute/mentorHub-mongodb/issues/35,https://chat.openai.com/share/cb408e7a-7759-47c8-9ee0-084a1afc6234,information retrieval,,No,,,,people dont find the info and the conversations valuable,,agile-learning-institute/mentorHub-mongodb,Dockerfile,2,6,3,GrahamPaasch,14,6,6,5,51,8264
655,https://github.com/royalsaltmerchant/markaml/issues/1,https://chat.openai.com/share/72002ba5-cbb4-407f-8106-4f672af2aed8,tool/library/api usage queries,,No,,,,marked as not planned,,royalsaltmerchant/markaml,OCaml,0,1,0,royalsaltmerchant,45,7,3,23,8,532
727,https://github.com/Yuri-SVB/Great_Wall/issues/50,https://chat.openai.com/share/35386edc-99da-43a4-afec-0ed4c6f9ef8a,information retrieval,,No,,,,comment saying 'I think this approach will address part of the problem and I think if we can't address it completely',,Yuri-SVB/Great_Wall,Python,23,5,14,Yuri-SVB,10,23,8,19,37,234761
733,https://github.com/meshtastic/meshtastic/issues/1131,https://chat.openai.com/share/f38b5ccd-3e65-44ed-880b-9d5f3df0ee05,information retrieval,,No,,,,comment saying informative but not very helpful,,meshtastic/meshtastic,TypeScript,537,30,323,devop-mike,7,1,5,20,237,23179
745,https://github.com/ianand/spreadsheets-are-all-you-need/issues/6,https://chat.openai.com/share/41026af7-7cec-4b41-8de5-349a7df3449f,others (write it in notes),,No,,,,the problem still exists,changing the formula in an excel file,ianand/spreadsheets-are-all-you-need,,1094,1,173,ianand,39,90,15,12,1,7
756,https://github.com/bloomberg/bde/issues/296,https://chat.openai.com/share/6fa46aa5-1b02-4137-a2be-b0ff6f84717c,code generation and implementation,information retrieval,No,,,,comment saying that the data provided by gpt lacks empirical data and evidence,,bloomberg/bde,C++,1630,30,311,qmarsun,36,2,2,25,4119,2583633
771,https://github.com/corbin-hayden13/SD-Prompt-Enhancer/issues/29,https://chat.openai.com/share/247c847c-52be-4b54-b7ae-fdc3175b8f90,debugging and code repair,,No,,,,the link is not working for people to access,,corbin-hayden13/SD-Prompt-Enhancer,Python,37,1,2,ShadowPlague21,0,0,4,0,8,1040
789,https://github.com/ArtLabss/tennis-tracking/issues/31,https://chat.openai.com/share/5829196a-05cb-4b84-abef-9cad16bca6b0,code enhancement,program generation,No,,,,comment saying 'the convo led nowhere',,ArtLabss/tennis-tracking,Python,370,3,92,nyck33,107,15,7,16,21,10324
797,https://github.com/orhun/daktilo/issues/29,https://chat.openai.com/share/d1a243c7-05cf-43a8-b6ef-a1a46bfca668,tool/library/api recommendation,,No,,,,comment saying that they're fine with the library that they are using for now,,orhun/daktilo,Rust,985,10,18,richdrummer33,20,3,6,2,43,2250
800,https://github.com/jaredhanson/passport-oauth2/issues/176,https://chat.openai.com/share/cda16915-b97e-48de-836b-62501ab93041,code explanation,code enhancement,No,,,,solution is not working,,jaredhanson/passport-oauth2,JavaScript,599,13,341,CakeCrusher,109,42,6,29,32,6091
804,https://github.com/patchthecode/JTAppleCalendar/issues/1297,https://chat.openai.com/share/1a16c841-f99e-4b46-85f7-2b2d629b876e,tool/library/api usage queries,,No,,,,nobody tested the gpt's solution yet,,patchthecode/JTAppleCalendar,Swift,7508,30,798,tekinalper,9,17,11,18,65,6201
806,https://github.com/joelouthan/Theologicus/issues/114,https://chat.openai.com/share/53b843d3-f2e0-46bd-a1dc-eeb44d4bd66d,tool/library/api usage queries,,No,,,,the proposed solution did not work,,joelouthan/Theologicus,CSS,1,1,0,joelouthan,75,36,9,28,1249,64954
819,https://github.com/christofmuc/KnobKraft-orm/issues/73,https://chat.openai.com/share/f2de7acd-8eff-4781-a04b-8f2b113dd62b,code enhancement,,No,,,,comment saying to gpt's answer 'not bad but very generic',,christofmuc/KnobKraft-orm,C++,181,7,22,markusschloesser,16,7,4,15,317,33831
828,https://github.com/webtorrent/webtorrent/issues/2536,https://chat.openai.com/share/52d96200-f507-48c3-9fb3-4935fe2f30b0,code enhancement,,No,,,,the gpt's solutions are found to be vague,,webtorrent/webtorrent,JavaScript,29104,30,2683,jnorthrup,231,45,15,14,84,10027
832,https://github.com/Macaulay2/homebrew-tap/issues/163,https://chat.openai.com/share/03ac0508-78ff-4d7c-a59c-473a7ccfd8d9,debugging and code repair,,No,,,,comment saying that gpt's answer is not helpful at all,,Macaulay2/homebrew-tap,Ruby,6,5,6,tom111,24,29,14,0,22,1341
833,https://github.com/ddanielsantos/astro-deck/issues/18,https://chat.openai.com/share/5a1b761d-0c97-46b6-ac78-ffa10bd05a4e,code enhancement,tool/library/api recommendation,No,,,,the framer api used by gpt was not found helpful and the pull request was closed down,,ddanielsantos/astro-deck,TypeScript,6,1,0,ddanielsantos,26,61,3,4,38,4675
847,https://github.com/AerithForge/AerithForge/issues/11,https://chat.openai.com/share/fb0d8ca0-1080-41a4-a7f6-a0dbe6a1ecd6,debugging and code repair,,No,,,,another simpler solution was implemented,,AerithForge/AerithForge,Shell,0,30,1,sweep-ai[bot],0,0,1,23,5932,10657654
869,https://github.com/AntonOsika/gpt-engineer/issues/294,https://chat.openai.com/share/83b0156d-aa19-45a8-b6d5-d5baf7edfe51,debugging and code repair,,No,,,,not helpful answer,,AntonOsika/gpt-engineer,Python,50902,30,6614,tnypxl,30,2,11,1,123,6080
871,https://github.com/TryQuiet/quiet/issues/836,https://chat.openai.com/share/688e6e75-6c46-4176-81f3-14bc2adda6c0,debugging and code repair,,No,,,,comment saying that gpt's answer is not helpful,,TryQuiet/quiet,C,1876,30,76,holmesworcester,46,29,14,22,1836,449213
162,https://github.com/neilenns/react-access-code-map/issues/5,https://chat.openai.com/share/86111521-7f64-4c67-8273-43a21d76c8df,code generation and implementation,,No,,,,"Chatgpt suggest code did not work.
Author mentioned ""This didn't work at all, it broke refresh token and I could never sign in.""",,neilenns/react-access-code-map,TypeScript,0,2,0,neilenns,74,23,9,26,71,15230
228,https://github.com/swc-project/swc/issues/7754,https://chat.openai.com/share/806c629d-1a6b-479f-bec1-114a801e7457,code generation and implementation,,No,,,,Author mention the regex gpt gave me is failing,,swc-project/swc,Rust,30191,30,1155,danieltroger,75,56,11,27,48122,8653202
248,https://github.com/simonw/simonw-readthedocs-experiments/issues/2,https://chat.openai.com/share/689bbcb5-686e-431c-854a-f363eb801726,tool/library/api usage queries,,No,,,,Author mentioned the chatgpt conversation and added that the issue is unsolvable.,,simonw/simonw-readthedocs-experiments,,1,1,0,simonw,761,6113,16,20,9,169
292,https://github.com/zsviczian/obsidian-excalidraw-plugin/issues/1319,https://chat.openai.com/share/04d5f99e-7ef6-49c3-8ecc-4ef63fd0de66,debugging and code repair,tool/library/api usage queries,No,,,,User mentioned the issue is still persisting,,zsviczian/obsidian-excalidraw-plugin,TypeScript,3546,30,195,zsviczian,39,520,8,29,316,47428
329,https://github.com/simonw/llm/issues/287,https://chat.openai.com/share/b937e7e8-1c09-4c96-be08-27551f70c1f4,tool/library/api usage queries,,No,,,,Author mentioned gpt hallucinated,,simonw/llm,Python,3206,19,155,simonw,761,6113,16,20,66,8895
330,https://github.com/johann-wagner/wagner-test/issues/12,https://chat.openai.com/share/2015126a-0017-442d-ad8a-eb6099bdc6a4,code generation and implementation,,No,,,,"Generative AI is good, but we're better!",,johann-wagner/wagner-test,R,2,2,0,johann-wagner,15,5,2,2,4,49
334,https://github.com/OpenPluginACI/openplugin-api/issues/6,https://chat.openai.com/share/cd181779-6d66-4e6c-9a4c-4bfd25db80b0,code enhancement,,No,,,,There is a commit on the issue but the fix provided does not match gpt solution,,OpenPluginACI/openplugin-api,Python,1,1,0,CakeCrusher,109,42,6,29,3,420
381,https://github.com/vlcn-io/cr-sqlite/issues/382,https://chat.openai.com/share/8ecef3c4-647e-4131-a636-3fa54c1ca1c5,tool/library/api usage queries,,No,,,,There is a comment that a better solution is found ,,vlcn-io/cr-sqlite,Rust,2492,9,67,tantaman,122,416,12,18,146,194465
384,https://github.com/MatrixAI/js-quic/issues/65,https://chat.openai.com/share/5323e80c-f2af-4a8c-9c65-8394c3c965f7,debugging and code repair,,No,,,,"There is a comment ""Chat GPT didn't have any more insight than I had.""",,MatrixAI/js-quic,TypeScript,9,2,0,tegefaulkes,9,5,7,27,260,88138
394,https://github.com/code-423n4/2023-09-maia-findings/issues/272,https://chat.openai.com/share/824b4bdb-bada-448e-8312-de28b9e09c9f,code explanation,,No,,,,"chatgpt conversation link is not for the discussion, instead a part of code in vulnerability",,code-423n4/2023-09-maia-findings,,21,14,14,c4-submissions,0,1,0,0,1088,53237
408,https://github.com/shakacode/heroku-to-control-plane/issues/117,https://chat.openai.com/share/7be4d077-9dab-4fab-b03d-b68ab057230b,tool/library/api usage queries,,No,,,,The chatgpt response is not used in the issue,,shakacode/heroku-to-control-plane,Ruby,38,6,1,justin808,110,405,12,0,205,10318
412,https://github.com/neuralmesh/apimesh/issues/14,https://chat.openai.com/share/23ac29c2-371e-45b7-8f16-6550cee7b8a0,code generation and implementation,,No,,,,Negative comment,,neuralmesh/apimesh,Shell,0,2,2,m-c-frank,108,9,4,11,19,332
417,https://github.com/f3d-app/f3d/issues/1063,https://chat.openai.com/share/d24a4ab2-776a-4047-bf31-be298af2a707,information retrieval,,No,,,,Used just as a reference for a question in between of discussion,,f3d-app/f3d,C++,2406,30,169,spiraloid,7,108,6,2,432,94711
418,https://github.com/f2etw/detect-inapp/issues/52,https://chat.openai.com/share/98549886-db01-4c4c-8c9c-5c3bce26ea42,code explanation,,No,,,,Reference for a part of problem. Solution is not in chatgpt response,,f2etw/detect-inapp,JavaScript,241,7,31,brunofin,49,21,9,20,8,512
429,https://github.com/ftrackhq/ftrack-javascript/issues/166,https://chat.openai.com/share/3a9a937b-3e92-4792-b42c-a548921ee145,code generation and implementation,,No,,,,Author mentioned that chatgpt code is of javascript which is not going to be used.,,ftrackhq/ftrack-javascript,TypeScript,6,13,2,ffMathy,222,116,11,26,57,22276
440,https://github.com/dessalines/thumb-key/issues/568,https://chat.openai.com/share/e052adea-ecaf-4187-a696-625e15d30eff,information retrieval,,No,,,,Author reacted with a confused emoji,,dessalines/thumb-key,Kotlin,837,30,176,MikeStirner,0,0,1,30,221,111439
447,https://github.com/bitovi/github-actions-deploy-docker-to-ec2/issues/145,https://chat.openai.com/share/8c000a06-1987-4eb8-8f9c-bd1ee416fcbc,tool/library/api recommendation,,No,,,,Issue is closed before chatgpt link,,bitovi/github-actions-deploy-docker-to-ec2,,75,8,13,mcascone,19,5,9,24,3,1179
448,https://github.com/StefanSalewski/salewski-chess/issues/3,https://chat.openai.com/share/3be72d94-e0f8-4017-abe9-0e9452bc9c54,tool/library/api usage queries,,No,,,,Author found other references as better options,,StefanSalewski/salewski-chess,Nim,19,1,1,StefanSalewski,18,86,9,30,5,1579
456,https://github.com/GilbertLabUCSF/ScreenPro2/issues/23,https://chat.openai.com/share/cb8c33c7-d4c1-4e95-870f-78caa9a9b338,debugging and code repair,,No,,,,Issue is closed before chatgpt link geting mentioned,,GilbertLabUCSF/ScreenPro2,Python,1,2,1,abearab,40,22,4,25,25,651
463,https://github.com/recloudstream/cloudstream/issues/778,https://chat.openai.com/share/d97565ff-f6bc-41c3-989e-1753f5661fd7,code generation and implementation,,No,,,,There is a negative emoji,,recloudstream/cloudstream,Kotlin,5664,30,477,ShoaibKhanali,2,0,0,0,930,94396
470,https://github.com/hyperledger/aries-askar/issues/195,https://chat.openai.com/share/c9f791b0-a5e4-4457-beb1-9469a7d96099,debugging and code repair,,No,,,,author used his own solution,,hyperledger/aries-askar,Rust,56,16,40,ff137,24,7,6,19,232,34110
475,https://github.com/qdrant/qdrant/issues/2887,https://chat.openai.com/share/33ff51be-2f6a-4640-9fe6-6ac9e8772956,information retrieval,,No,,,,negative comment,,qdrant/qdrant,Rust,18404,30,1250,mcmah309,64,4,4,20,838,426318
495,https://github.com/8none1/zengge_lednetwf/issues/7,https://chat.openai.com/share/94d056af-2970-4735-8b3d-196af5674094,information retrieval,,No,,,,Author mentioned that its not useful,,8none1/zengge_lednetwf,Python,37,3,5,Funkelfetisch,13,5,5,3,14,3025
500,https://github.com/pkgxdev/pkgx/issues/894,https://chat.openai.com/share/6805b199-a9e5-421d-bbd7-5f4b8b3c59bb,code explanation,,No,,,,Author has issues with the suggested approach,,pkgxdev/pkgx,TypeScript,8756,30,1357,mxcl,61,7265,15,24,109,5986
501,https://github.com/jhuckaby/Cronicle/issues/694,https://chat.openai.com/share/2910e2d6-9e9c-4288-84cf-32de5867d51b,tool/library/api usage queries,,No,,,,Author got resolution from an other source,,jhuckaby/Cronicle,JavaScript,3388,9,359,jhuckaby,77,416,13,20,71,21936
504,https://github.com/scripting/Scripting-News/issues/282,https://chat.openai.com/share/e825efea-c271-4c24-8594-01a03c21f3af,tool/library/api usage queries,,No,,,,"Author mentioned ""We did not arrive at a plan"" after adding the chatgpt conversation",,scripting/Scripting-News,HTML,115,1,10,scripting,191,879,12,30,22693,603555
7,https://github.com/juliuscc/semantic-release-slack-bot/issues/106,https://chat.openai.com/share/e75da555-669f-4284-8b78-1040de2973c8,tool/library/api usage queries,,No,,,,no reactions to the provided link and the issue still open,"There is a comment ""This helps me a lot""",juliuscc/semantic-release-slack-bot,JavaScript,106,22,35,romanhrynevych,28,7,3,19,29,28543
23,https://github.com/meixger/hackernews-daily/issues/251,https://chat.openai.com/share/66169853-d00a-4b05-abce-8f82c6d8c868,information retrieval,,No,,,,no reactions to the provided link,,meixger/hackernews-daily,JavaScript,58,1,2,github-actions[bot],0,0,5,28,8,808
47,https://github.com/Takuzen/notan/issues/1,https://chat.openai.com/share/f44fdac2-da91-428b-b0dc-b7dcbcfbb605,code generation and implementation,tool/library/api usage queries,No,,,,no reactions to the provided link,,Takuzen/notan,TypeScript,0,1,0,Takuzen,27,16,8,15,23,16273
54,https://github.com/welfare-state-analytics/riksdagen-corpus/issues/320,https://chat.openai.com/share/7089929a-32d3-4729-b1f6-40962f5c53c9,information retrieval,,No,,,,no reactions to the provided link,,welfare-state-analytics/riksdagen-corpus,Python,27,14,5,salgo60,105,41,8,30,32694,103840135
55,https://github.com/multitheftauto/mtasa-blue/issues/3087,https://chat.openai.com/share/63d127d9-3abd-418e-8580-e90825bff8bd,tool/library/api usage queries,,No,,,,No comment or reaction,,multitheftauto/mtasa-blue,C++,1290,30,406,CrosRoad95,9,36,7,24,5721,1537843
68,https://github.com/jabrena/spring-boot-user-beans/issues/36,https://chat.openai.com/share/c2ce8b0a-5fa3-4871-ae5a-7fb46a16ce6a,tool/library/api usage queries,,No,,,,After the chatGPT link the issue was closed. Later it got reopened,,jabrena/spring-boot-user-beans,Java,52,2,3,jabrena,441,164,14,17,52,6915
99,https://github.com/oneduo/nova-file-manager/issues/249,https://chat.openai.com/share/71395f9c-3cc5-4de3-b5b8-524bc2cb6b7d,tool/library/api usage queries,,No,,,,no reactions to the provided link,,oneduo/nova-file-manager,PHP,124,14,34,HeadStudios,24,0,11,23,209,38631
121,https://github.com/ajschumacher/ajschumacher.github.io/issues/384,https://chat.openai.com/share/f8f8e29e-3806-4d33-9d10-29ef7116e704,tool/library/api usage queries,,No,,,,no reactions to the link,,ajschumacher/ajschumacher.github.io,HTML,20,2,21,ajschumacher,284,413,12,27,1840,287102
124,https://github.com/martyu/Rangliste/issues/4,https://chat.openai.com/share/dde3b8ef-8c8a-4ba6-95b4-0227490d4580,system design and architecture,code generation and implementation,No,,,,no reactions to the link,,martyu/Rangliste,Swift,0,1,0,martyu,43,7,13,11,42,1925
125,https://github.com/jabrena/spring-boot-user-beans/issues/120,https://chat.openai.com/share/d3247f78-605e-464d-9f39-b0e7149026fb,tool/library/api usage queries,,No,,,,no reactions to the link,,jabrena/spring-boot-user-beans,Java,52,2,3,jabrena,441,164,14,17,52,6915
126,https://github.com/jabrena/spring-boot-user-beans/issues/129,https://chat.openai.com/share/dd82b2ad-dd07-40dc-bd65-52bd3b44ef94,tool/library/api usage queries,,No,,,,no reactions to the link,,jabrena/spring-boot-user-beans,Java,52,2,3,jabrena,441,164,14,17,52,6915
129,https://github.com/ivpusic/react-native-image-crop-picker/issues/1941,https://chat.openai.com/share/f868ed70-e3bd-4809-9226-2526c7a5d6cd,code enhancement,tool/library/api usage queries,No,,,,no reactions to the link,,ivpusic/react-native-image-crop-picker,Objective-C,6024,30,1537,kusche12,40,4,6,24,91,6494
131,https://github.com/hl7-be/patientwill/issues/8,https://chat.openai.com/share/fd3b43d8-b5dc-4659-9308-a96cac29aa35,tool/library/api usage queries,,No,,,,no reactions to the link,,hl7-be/patientwill,GLSL,0,1,0,AlexisVZ-MDS,1,0,2,10,29,927
